zipcode,cluster
10001,8
10002,36
10003,52
10004,0
10005,0
10006,0
10007,0
10009,52
10010,8
10011,25
10012,36
10013,36
10014,25
10016,8
10017,19
10018,35
10019,27
10020,19
10021,28
10022,19
10023,27
10024,10
10025,10
10026,54
10027,31
10028,28
10029,54
10030,31
10031,31
10032,20
10033,20
10034,44
10035,54
10036,35
10037,31
10038,0
10039,31
10040,44
10044,28
10065,19
10075,28
10128,28
10280,0
10301,29
10302,47
10303,47
10304,29
10305,15
10306,5
10307,18
10308,45
10309,18
10310,47
10312,45
10314,21
10451,59
10452,59
10453,44
10454,59
10455,59
10456,59
10457,4
10458,23
10459,4
10460,4
10461,22
10462,22
10463,58
10464,49
10465,49
10466,12
10467,23
10468,23
10469,12
10470,12
10471,58
10472,22
10473,22
10474,4
10475,12
11004,43
11005,43
11101,33
11102,3
11103,3
11104,48
11105,3
11106,3
11201,16
11203,42
11204,40
11205,7
11206,50
11207,6
11208,38
11209,37
11210,41
11211,17
11212,42
11213,34
11214,40
11215,51
11216,34
11217,7
11218,41
11219,2
11220,2
11221,57
11222,17
11223,9
11224,55
11225,34
11226,41
11228,40
11229,26
11230,9
11231,16
11232,2
11233,57
11234,32
11235,26
11236,6
11237,57
11238,7
11239,6
11354,1
11355,1
11356,1
11357,46
11358,46
11360,11
11361,11
11362,43
11363,43
11364,11
11365,30
11366,30
11367,53
11368,39
11369,24
11370,24
11372,24
11373,39
11374,39
11375,53
11377,48
11378,14
11379,14
11385,14
11411,43
11412,30
11413,43
11414,56
11415,13
11416,38
11417,56
11418,13
11419,13
11420,56
11421,38
11423,30
11426,43
11427,43
11428,43
11429,30
11432,30
11433,30
11434,30
11435,13
11436,56
